"","Sample_A","Sample_B","BC_distances"
"1","10P10V1","10P10V1",0
"2","10P10V2","10P10V1",0.180369648678511
"3","10P10V2A","10P10V1",0.963062764270252
"4","10P11V1","10P10V1",0.232077098353386
"5","10P11V1A","10P10V1",0.974245283018868
"6","10P11V2","10P10V1",0.228128147171069
"7","10P12V1","10P10V1",0.950145204940641
"8","10P12V1A","10P10V1",0.981885212487345
"9","10P13V1","10P10V1",0.980990998145051
"10","10P13V2","10P10V1",0.987834497115843
"11","10P14V1","10P10V1",0.93189570137842
"12","10P14V1A","10P10V1",0.996778350515464
"13","10P14V2","10P10V1",0.925497846329204
"14","10P14V2A","10P10V1",0.967240986014096
"15","10P14V3","10P10V1",0.887779359486458
"16","10P14V3A","10P10V1",0.966942146620294
"17","10P15V1","10P10V1",0.504019205249574
"18","10P15V1A","10P10V1",0.985521058612221
"19","10P15V2","10P10V1",0.735147234961686
"20","10P15V2A","10P10V1",0.967846055989316
"21","10P15V3","10P10V1",0.741095352406754
"22","10P15V3A","10P10V1",0.980665950590763
"23","10P16V1","10P10V1",0.990731581954731
"24","10P16V2","10P10V1",0.96656195102484
"25","10P17V1","10P10V1",0.990194006509151
"26","10P17V3A","10P10V1",0.995726290516207
"27","10P17V3","10P10V1",0.193128626208449
"28","10P18V1","10P10V1",0.229120192110059
"29","10P18V1A","10P10V1",0.970979495914275
"30","10P18V2","10P10V1",0.528953866487017
"31","10P18V3","10P10V1",0.205988965403363
"32","10P18V3A","10P10V1",0.959671487511568
"33","10P1V1","10P10V1",0.993086337117099
"34","10P1V2","10P10V1",0.999394428744449
"35","10P2V1","10P10V1",0.538703354584547
"36","10P2V1A","10P10V1",0.751931585977915
"37","10P2V2","10P10V1",0.819093540863035
"38","10P2V2A","10P10V1",0.697400458273677
"39","10P2V2B","10P10V1",0.998824749395092
"40","10P2V3","10P10V1",0.707696367001976
"41","10P2V3A","10P10V1",0.837792229790587
"42","10P3V1","10P10V1",0.393607247988311
"43","10P3V1A","10P10V1",0.99919611070704
"44","10P3V2","10P10V1",0.221538153602134
"45","10P3V2A","10P10V1",0.989417420893885
"46","10P2V3B","10P10V1",0.996204207269421
"47","10P3V3A","10P10V1",0.999161966156326
"48","10P4V1","10P10V1",0.951702360179444
"49","10P4V1A","10P10V1",0.965054707359128
"50","10P4V2","10P10V1",0.93840668588816
"51","10P4V2A","10P10V1",0.994090270290236
"52","10P4V3","10P10V1",0.936782971667441
"53","10P4V3A","10P10V1",0.98182301826565
"54","10P5V1","10P10V1",0.236367111684414
"55","10P5V2","10P10V1",0.992739071022689
"56","10P6V1","10P10V1",0.898160056381215
"57","10P6V1A","10P10V1",0.968955321410604
"58","10P6V2","10P10V1",0.972299526899124
"59","10P6V2A","10P10V1",1
"60","10P6V3","10P10V1",0.880623467605554
"61","10P6V3A","10P10V1",0.969793269969043
"62","10P7V1","10P10V1",0.960513869135392
"63","10P7V1A","10P10V1",0.999042741588092
"64","10P7V2","10P10V1",0.992784596682483
"65","10P7V3","10P10V1",0.967149854473304
"66","10P7V3A","10P10V1",0.994522909957654
"67","10P8V1","10P10V1",0.934994590093152
"68","10P8V1A","10P10V1",0.997676665912782
"69","10P8V2","10P10V1",0.912469199330906
"70","10P8V2A","10P10V1",0.964975809204314
"71","10P9V1","10P10V1",0.520532920940442
"72","10P9V1A","10P10V1",0.984912445924102
"73","10P9V1B","10P10V1",0.997699567842733
"74","10P9V2","10P10V1",0.994736842105263
"75","10P9V2A","10P10V1",1
"76","10P9V3","10P10V1",0.988476143637011
"77","10P9V3A","10P10V1",0.999829112409857
"78","10P10V1","10P10V2",0.180369648678511
"79","10P10V2","10P10V2",0
"80","10P10V2A","10P10V2",0.926376098038021
"81","10P11V1","10P10V2",0.221276805326517
"82","10P11V1A","10P10V2",0.967103742771746
"83","10P11V2","10P10V2",0.221931889162384
"84","10P12V1","10P10V2",0.87318809762591
"85","10P12V1A","10P10V2",0.981191617841387
"86","10P13V1","10P10V2",0.980741340770239
"87","10P13V2","10P10V2",0.987614653670418
"88","10P14V1","10P10V2",0.847191189431057
"89","10P14V1A","10P10V2",0.993293111527647
"90","10P14V2","10P10V2",0.798480929189367
"91","10P14V2A","10P10V2",0.945484115084164
"92","10P14V3","10P10V2",0.794862256443662
