"","10P10V1","10P10V2","10P10V2A","10P11V1","10P11V1A","10P11V2","10P12V1","10P12V1A","10P13V1","10P13V2","10P14V1","10P14V1A","10P14V2","10P14V2A","10P14V3","10P14V3A","10P15V1","10P15V1A","10P15V2","10P15V2A","10P15V3","10P15V3A","10P16V1","10P16V2","10P17V1","10P17V3A","10P17V3","10P18V1","10P18V1A","10P18V2","10P18V3","10P18V3A","10P1V1","10P1V2","10P2V1","10P2V1A","10P2V2","10P2V2A","10P2V2B","10P2V3","10P2V3A","10P3V1","10P3V1A","10P3V2","10P3V2A","10P2V3B","10P3V3A","10P4V1","10P4V1A","10P4V2","10P4V2A","10P4V3","10P4V3A","10P5V1","10P5V2","10P6V1","10P6V1A","10P6V2","10P6V2A","10P6V3","10P6V3A","10P7V1","10P7V1A","10P7V2","10P7V3","10P7V3A","10P8V1","10P8V1A","10P8V2","10P8V2A","10P9V1","10P9V1A","10P9V1B","10P9V2","10P9V2A","10P9V3","10P9V3A"
"10P10V1",0,0.180369648678511,0.963062764270252,0.232077098353386,0.974245283018868,0.228128147171069,0.950145204940641,0.981885212487345,0.980990998145051,0.987834497115843,0.93189570137842,0.996778350515464,0.925497846329204,0.967240986014096,0.887779359486458,0.966942146620294,0.504019205249574,0.985521058612221,0.735147234961686,0.967846055989316,0.741095352406754,0.980665950590763,0.990731581954731,0.96656195102484,0.990194006509151,0.995726290516207,0.193128626208449,0.229120192110059,0.970979495914275,0.528953866487017,0.205988965403363,0.959671487511568,0.993086337117099,0.999394428744449,0.538703354584547,0.751931585977915,0.819093540863035,0.697400458273677,0.998824749395092,0.707696367001976,0.837792229790587,0.393607247988311,0.99919611070704,0.221538153602134,0.989417420893885,0.996204207269421,0.999161966156326,0.951702360179444,0.965054707359128,0.93840668588816,0.994090270290236,0.936782971667441,0.98182301826565,0.236367111684414,0.992739071022689,0.898160056381215,0.968955321410604,0.972299526899124,1,0.880623467605554,0.969793269969043,0.960513869135392,0.999042741588092,0.992784596682483,0.967149854473304,0.994522909957654,0.934994590093152,0.997676665912782,0.912469199330906,0.964975809204314,0.520532920940442,0.984912445924102,0.997699567842733,0.994736842105263,1,0.988476143637011,0.999829112409857
"10P10V2",0.180369648678511,0,0.926376098038021,0.221276805326517,0.967103742771746,0.221931889162384,0.87318809762591,0.981191617841387,0.980741340770239,0.987614653670418,0.847191189431057,0.993293111527647,0.798480929189367,0.945484115084164,0.794862256443662,0.951575011074756,0.439411682631984,0.985521058612221,0.670450352929241,0.955497757259502,0.652430434173509,0.980248239646736,0.979074475682067,0.927577730354682,0.990125960782422,0.990808304813488,0.238774637007197,0.207853232928083,0.9710226170199,0.451890544618169,0.216914162462992,0.915748901981418,0.991936605032671,0.999326383017721,0.5173960632844,0.751729220179337,0.798054378325733,0.711050094295448,0.995679225717249,0.669236423016326,0.861086359530811,0.311860933223182,0.995950788250993,0.251117881112575,0.987352524775838,0.993502514856153,0.99577401712581,0.835421480510249,0.940582896800864,0.849127330293041,0.979166370285074,0.844373442170386,0.971718227846488,0.304484372547091,0.987141879983618,0.81021088178008,0.950171614045531,0.90274021060656,1,0.809227406387786,0.950149823944531,0.98664955729348,0.998421678179779,0.983661997137517,0.920129786430983,0.99463718250406,0.925077928102206,0.997676665912782,0.78979504307599,0.943395576399549,0.501468778019201,0.934490059402381,0.997002269710077,0.986507793300996,1,0.946436569778695,0.999761066683128
"10P10V2A",0.963062764270252,0.926376098038021,0,0.966068114246405,0.748969339255676,0.97770898144708,0.98013781550687,0.830281353040881,0.848353017023442,0.838328968846657,0.938552070205162,0.87529005371989,0.929068172536879,0.822932669883628,0.936325966089543,0.866540076969779,0.96357442398732,0.800303221854974,0.928488407195565,0.822688336735543,0.922203205227945,0.854404419251616,0.847281140514024,0.815108489342012,0.833132669403779,0.825428191503768,0.958075060882152,0.937463762118417,0.824926590209106,0.922794460868212,0.931844495663756,0.839738238595908,0.828579492392841,0.746349819616338,0.988826558259218,0.993514913673829,0.990903315719126,0.990074917775401,0.913393149826839,0.988901103238493,0.992218314361162,0.928240236502256,0.918109244425486,0.974203619147747,0.879020890685064,0.885613629008815,0.922430073470014,0.928200286044372,0.816761523798972,0.926341393070528,0.866598702605397,0.928240236502256,0.865651111989224,0.987452648710967,0.849087209497909,0.925106711738642,0.831729672374537,0.974334295899186,0.845811926360471,0.963505648405312,0.831363080183859,0.993326667676736,0.987990700965095,0.867317168395334,0.974937830136927,0.934464308338874,0.986063361651986,0.935850549076588,0.925236541068888,0.807597608020439,0.987880295122098,0.991592247767433,0.914586360962189,0.997448265131477,0.992220320522795,0.994056997645254,0.68027525031921
"10P11V1",0.232077098353386,0.221276805326517,0.966068114246405,0,0.972997916942602,0.0861258154791003,0.860042041288732,0.979294124321146,0.980426489241064,0.987452961043605,0.826456195622931,0.993452135450652,0.826955848836379,0.965203616555572,0.779609329137774,0.965191383635692,0.411559654018018,0.986684231075732,0.666775337653428,0.96820654267167,0.672786269972074,0.98073457719724,0.991152740322924,0.971215584235853,0.990194006509151,0.997916971511004,0.221278010290795,0.248693658205818,0.973410125592353,0.501399617025904,0.236758034083615,0.963529537167115,0.992568699573284,0.999394428744449,0.522867522990083,0.757363123507239,0.812583005706781,0.737647471312897,0.997573951692475,0.690411568301661,0.888219032690169,0.35196789303145,0.997715574650882,0.238010246149112,0.988074923863759,0.994710330886654,0.9984727510957,0.876047711756429,0.967505039443397,0.940339114907843,0.988488149364266,0.857715642416818,0.981735673012036,0.27814876122923,0.995864342095546,0.845499384044874,0.963017797864268,0.89421121362939,0.998463368692376,0.796437312794677,0.964906222948,0.987162889997229,0.999042741588091,0.991091707629019,0.923578338493899,0.994975942420196,0.861335389386037,0.995940865019356,0.845610896231473,0.970279531959941,0.505437934879937,0.927314381588435,0.997030321403748,0.99531934146417,1,0.910431094667306,0.999384804675485
"10P11V1A",0.974245283018868,0.967103742771746,0.748969339255676,0.972997916942602,0,0.975249373490017,0.979870542896696,0.673396827449929,0.787175930529316,0.763126738411206,0.957097896870589,0.759079525560998,0.956493631273503,0.787414333506857,0.950352581906589,0.817538751532675,0.970747494809064,0.788518790809555,0.960809168919096,0.817907040336786,0.961578721280285,0.848861619457449,0.717094519961227,0.531729206368785,0.749859333916568,0.61928401549299,0.972513591029567,0.974864735936931,0.800393459748685,0.963399463837425,0.968784826273896,0.661419218920115,0.700157398833772,0.811951729496272,0.993305219739811,0.994219384034258,0.992551852512392,0.99404078877922,0.730370510470948,0.990468012550517,0.994298849142846,0.963679245283019,0.621076182414253,0.979725177572766,0.613637707355731,0.691198653808597,0.700809526705487,0.961490562032172,0.72467657675368,0.960751704236408,0.754308877061187,0.961226415094339,0.781735420772451,0.989023912191297,0.664273497480569,0.960288511721627,0.695175333287953,0.981022115212257,0.58680603279768,0.968250504115755,0.773607551315469,0.994138523015749,0.98439310719759,0.82516231697906,0.981459022117084,0.881923016935059,0.990269429616241,0.735688083573303,0.959827101704066,0.583609825560698,0.990916136320579,0.993848027704982,0.888181553373739,0.996698113207547,0.961428421401812,0.994528301886793,0.836075040932415
"10P11V2",0.228128147171069,0.221931889162384,0.97770898144708,0.0861258154791003,0.975249373490017,0,0.834883601232921,0.980014028968368,0.984857704279319,0.986842278514368,0.83620045009895,0.991498431917984,0.818153144782141,0.971852229122102,0.763467263131435,0.968632061194248,0.396911436234748,0.986073548546495,0.642875810620423,0.979303453571976,0.649912378654026,0.98400582269746,0.98975659603878,0.982611140493541,0.989756987650106,0.997046700079837,0.199420594577751,0.23108253970874,0.985281897038032,0.480062542594058,0.204244423728489,0.974989258459737,0.991698428142117,0.999394428744449,0.519588294634672,0.754259079230328,0.807545925178971,0.731021878027937,0.996401489175838,0.684181143813232,0.882936958932639,0.329232924038499,0.996228501985239,0.220572315193098,0.9867284372446,0.990955473052698,0.997010488696414,0.859952264093858,0.979056963112629,0.924682990718707,0.987731282728774,0.841547527188915,0.985195948145373,0.263907553377839,0.994652322817632,0.828448969575302,0.969074760721507,0.872463662407317,0.998160817174576,0.780592236632069,0.974235458666725,0.975823836624571,0.997511128129039,0.990459404776472,0.905689628429362,0.994881369059133,0.852509957961265,0.993003925804536,0.833204623974733,0.981632963126489,0.502366531756351,0.922720222703262,0.996748972305012,0.992474464752465,0.9996974484822,0.907250911154568,0.999384804675485
"10P12V1",0.950145204940641,0.87318809762591,0.98013781550687,0.860042041288732,0.979870542896696,0.834883601232921,0,0.984387715167898,0.985092452349627,0.986148670138344,0.661559210110476,0.993139252087185,0.685515230812768,0.98152626588094,0.561048921932875,0.980396151960312,0.76161234806434,0.988777323968281,0.70706730646391,0.977091749388336,0.640604999103621,0.985689868616401,0.989140006219799,0.984978632848771,0.988790231179264,0.995117815450347,0.890572331740983,0.92030193457512,0.986831109269985,0.826275013010337,0.912763027656672,0.979267780298223,0.993038344759995,0.999394428744449,0.955763486174067,0.98630886580954,0.969490425693657,0.97158326429392,0.996749810346348,0.939821377392002,0.992156996556971,0.786101977671205,0.99572426921662,0.894388891099305,0.987231686798472,0.994594886642217,0.995660473296009,0.684487544728251,0.977010058275628,0.867058880654864,0.985029411885663,0.713540043877242,0.983250756486379,0.971037536100641,0.995503659223591,0.600368020046701,0.971216366206944,0.469030159824374,1,0.537268585139473,0.971790204777045,0.985930712225849,0.999090604508687,0.993196164040804,0.877019093526726,0.995740041078175,0.688064284829626,0.997676665912783,0.648193564431164,0.982030896286188,0.956840874557387,0.916073791938007,0.99576756323348,0.993197511600089,0.998765293523403,0.798038602864193,0.999829112409857
"10P12V1A",0.981885212487345,0.981191617841387,0.830281353040881,0.979294124321146,0.673396827449929,0.980014028968368,0.984387715167898,0,0.7188319976036,0.654687611289306,0.979861765801898,0.605340863501555,0.973927223351817,0.679101217059181,0.977108521869468,0.697752500668036,0.980849835137199,0.742088170476691,0.980536900505767,0.724186095646049,0.98015332415399,0.77998435787473,0.590302330482451,0.633136891754323,0.691201070010793,0.649102635186076,0.980793949442075,0.981061721895652,0.821046484263886,0.980750759433661,0.981352806393324,0.677316258709665,0.682326460730906,0.804974938225099,0.996009987543395,0.996991435974167,0.98979413628783,0.995368034682534,0.725979563581981,0.987253258963129,0.998659972054882,0.980849835137199,0.68670199488727,0.982378625141076,0.581820960958088,0.659214901855198,0.703968790113429,0.981103254355285,0.660162248111582,0.978244674692822,0.676571662750921,0.981071670617254,0.664011960979092,0.987961012957057,0.629276301277852,0.980667845543052,0.68880564345199,0.996562855780475,0.667317929881937,0.984867173452746,0.696382095399015,0.999068571747918,0.987613681379885,0.876999386569337,0.997569410188114,0.927489015576662,0.988831201977461,0.825685870494477,0.97989261920399,0.653268180131579,0.994706431549837,0.995566486468896,0.822589751536466,1,0.854309240258799,0.999180343138168,0.825715954300286
"10P13V1",0.980990998145051,0.980741340770239,0.848353017023442,0.980426489241064,0.787175930529316,0.984857704279319,0.985092452349627,0.7188319976036,0,0.403124130120052,0.980809386496967,0.705408542985706,0.975593315716868,0.757732017601926,0.979532526842084,0.807051247912762,0.980908819727553,0.874319522545641,0.980496451865535,0.81824495459898,0.980317789729216,0.824923962771316,0.789550387165914,0.788247876019588,0.783257871206582,0.747682115900949,0.980809386496967,0.980784069228551,0.923953637755376,0.980908819727553,0.980908819727553,0.888966917648889,0.787307532200153,0.737679856763694,0.996683758000418,0.997534806475899,0.99582007314872,0.996084655850807,0.817234432246392,0.993558106914645,0.998857287963433,0.980809386496967,0.793228068549126,0.98351785685081,0.727818604005931,0.760970980955884,0.813316955027041,0.980908819727553,0.855923372298478,0.978017399047422,0.870698908356623,0.980762492539962,0.865945637324836,0.988205806544666,0.786119583006309,0.980720539728028,0.732937792464227,0.998191998450128,0.804535605362115,0.985655755532851,0.731295158974419,0.999237590786887,0.994391624086934,0.923136159263361,0.998207191565979,0.9292825545774,0.98913280036492,0.942524165634314,0.980075710781633,0.890392904505078,0.99538020200686,0.995824138089626,0.948884574490008,1,0.949531632160118,1,0.779501834247275
"10P13V2",0.987834497115843,0.987614653670418,0.838328968846657,0.987452961043605,0.763126738411206,0.986842278514368,0.986148670138344,0.654687611289306,0.403124130120052,0,0.987682699397146,0.672284680707959,0.982466628617046,0.739959156828252,0.986405839742263,0.801831337990146,0.987682699397146,0.82725926433996,0.987369764765714,0.833751074373745,0.986945304245519,0.829703009353735,0.80301327099134,0.742804670214074,0.752399155643442,0.722360756246811,0.987682699397146,0.987557948898144,0.913226670896252,0.987747755562302,0.987682699397146,0.849298816660688,0.768364492590462,0.743907640276229,0.997302910302853,0.998153958778333,0.995668275430023,0.996803241383827,0.792102473886797,0.994223709431721,0.998941508824609,0.987747755562302,0.788142862790799,0.987682699397146,0.697481583776871,0.727203226727135,0.783530818781203,0.987682699397146,0.837893371671395,0.984791278717015,0.8452772824438,0.987536372209555,0.845657849580286,0.98815566358334,0.736363522098895,0.987593852628207,0.766937163141246,0.998746094587406,0.764643477187598,0.987561597368687,0.7475495064433,1,0.987502238313415,0.906620132475792,0.999327752960055,0.909355372931609,0.989618198927018,0.907947529116322,0.986949023681812,0.84926354007267,0.995999354309295,0.99647766745749,0.934698360259418,0.999934943834844,0.935624154542418,0.999934943834844,0.770600791005947
