"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Family","Genus"
"ASV9",80.9440977026473,-7.83129519939279,3.01060940849276,0.668804124670725,"Proteobacteria","Gammaproteobacteria","Xanthomonadaceae","Stenotrophomonas"
"ASV1",13409.0602421324,-0.75068002807254,1.3887323195058,0.984885864786708,"Firmicutes","Bacilli","Staphylococcaceae","Staphylococcus"
"ASV2",4206.37797957342,-0.200845886978571,2.35819562745456,0.984885864786708,"Proteobacteria","Gammaproteobacteria","Pseudomonadaceae","Pseudomonas"
"ASV4",5105.50136418193,-0.244971818360252,0.592157049053711,0.984885864786708,"Firmicutes","Bacilli","Streptococcaceae","Streptococcus"
"ASV6",0.168282550069682,1.34341579239924,3.05718044172799,0.984885864786708,"Firmicutes","Clostridia","Lachnospiraceae","Blautia"
"ASV7",0.490054684781096,-0.340528366648591,2.58543817613263,0.984885864786708,"Proteobacteria","Gammaproteobacteria","Enterobacteriaceae","Escherichia-Shigella"
"ASV8",0.810108141034243,3.23243465995963,3.02390667704397,0.984885864786708,"Firmicutes","Bacilli","Enterococcaceae","Enterococcus"
"ASV10",1.23520052633221,0.446669825630624,2.53560277137112,0.984885864786708,"Bacteroidota","Bacteroidia","Bacteroidaceae","Bacteroides"
"ASV13",2035.00117106804,-1.12690084704121,0.786167236302869,0.984885864786708,"Actinobacteriota","Actinobacteria","Micrococcaceae","Rothia"
"ASV14",1088.86553844333,-0.372757828751123,0.979693057399066,0.984885864786708,"Bacteroidota","Bacteroidia","Prevotellaceae","Prevotella"
"ASV18",358.092148589344,1.38485555535292,0.682397588448585,0.984885864786708,"Firmicutes","Negativicutes","Veillonellaceae","Veillonella"
"ASV21",0.880775960161285,-2.31574689684958,3.06264872924701,0.984885864786708,"Firmicutes","Clostridia","Clostridiaceae","Clostridium sensu stricto 1"
"ASV22",351.05236047004,0.200406393665101,0.836266661894306,0.984885864786708,"Firmicutes","Bacilli","Gemellaceae","Gemella"
"ASV30",272.018625034878,0.716857387288462,0.860345532554488,0.984885864786708,"Firmicutes","Bacilli","Carnobacteriaceae","Granulicatella"
"ASV34",40.212386139898,-1.36876326374543,1.60854618202786,0.984885864786708,"Fusobacteriota","Fusobacteriia","Fusobacteriaceae","Fusobacterium"
"ASV42",1.46477217190462,-2.2767572659619,2.99038586246578,0.984885864786708,"Firmicutes","Clostridia","Ruminococcaceae","Faecalibacterium"
"ASV57",52.5035613930564,-0.0283491686104299,1.1033084656462,0.984885864786708,"Bacteroidota","Bacteroidia","Prevotellaceae","Alloprevotella"
"ASV62",12.0911584844463,-0.306308164675714,1.46340186766578,0.984885864786708,"Campilobacterota","Campylobacteria","Campylobacteraceae","Campylobacter"
"ASV66",0.084141275034841,0.783405974519278,3.06365717704259,0.984885864786708,"Proteobacteria","Gammaproteobacteria","Sutterellaceae","Sutterella"
"ASV68",1.47850229360336,-0.0439854661596384,2.3218811298311,0.984885864786708,"Firmicutes","Negativicutes","Veillonellaceae","Dialister"
"ASV71",80.0690621847308,0.101268088763836,1.6100913412898,0.984885864786708,"Bacteroidota","Bacteroidia","Porphyromonadaceae","Porphyromonas"
"ASV82",277.727411053377,0.945988803389348,0.721938025321464,0.984885864786708,"Actinobacteriota","Actinobacteria","Actinomycetaceae","Actinomyces"
"ASV105",12.5712385023096,-0.885670777774691,1.94978143886813,0.984885864786708,"Firmicutes","Bacilli","Lactobacillaceae","Lactobacillus"
"ASV106",76.5867887180987,0.572316747814214,1.51572211566044,0.984885864786708,"Proteobacteria","Gammaproteobacteria","Pasteurellaceae","Haemophilus"
"ASV152",2.64868193685097,-1.53654884374165,2.38125168271715,0.984885864786708,"Proteobacteria","Gammaproteobacteria","Neisseriaceae","Neisseria"
"ASV154",3.721082123482,-0.134533419447655,1.90480724692666,0.984885864786708,"Firmicutes","Clostridia","Lachnospiraceae","Lachnoanaerobaculum"
"ASV160",0.612205901704231,-0.124624439697733,2.39997743794311,0.984885864786708,"Actinobacteriota","Actinobacteria","Bifidobacteriaceae","Bifidobacterium"
"ASV190",11.8102607718447,0.288702237639792,2.01734602958799,0.984885864786708,"Firmicutes","Negativicutes","Veillonellaceae","Megasphaera"
"ASV192",23.9597079521692,0.13754605874179,1.00804568790181,0.984885864786708,"Actinobacteriota","Coriobacteriia","Atopobiaceae","Atopobium"
"ASV198",19.7822266317319,1.94068532231929,1.27037365890204,0.984885864786708,"Actinobacteriota","Actinobacteria","Bifidobacteriaceae","Scardovia"
"ASV220",11.9215386153709,-0.706426516330799,1.87785182248452,0.984885864786708,"Firmicutes","Clostridia","Anaerovoracaceae","Mogibacterium"
"ASV244",16.6421553555752,0.57502075745736,1.80373743626585,0.984885864786708,"Firmicutes","Clostridia","Lachnospiraceae","Stomatobaculum"
"ASV257",25.5545768789703,0.829243061028155,1.2158712442722,0.984885864786708,"Firmicutes","Clostridia","Lachnospiraceae","Oribacterium"
"ASV258",32.8989025127841,0.0273445933645785,1.41253783304603,0.984885864786708,"Bacteroidota","Bacteroidia","Flavobacteriaceae","Capnocytophaga"
"ASV282",4.36131323844664,0.331337112615996,2.36859860987552,0.984885864786708,"Firmicutes","Bacilli","Aerococcaceae","Abiotrophia"
"ASV296",14.4357693108489,-0.95202594933446,2.21785052699521,0.984885864786708,"Patescibacteria","Saccharimonadia","Saccharimonadaceae","TM7x"
"ASV316",2.01250054614939,-0.950293907134993,2.72420226548832,0.984885864786708,"Firmicutes","Clostridia","Peptostreptococcaceae","Peptostreptococcus"
"ASV326",4.38626740568293,1.27285398556326,1.89396084170188,0.984885864786708,"Firmicutes","Clostridia","Lachnospiraceae","Catonella"
"ASV333",6.87505638941083,1.73093194351046,1.64049393788669,0.984885864786708,"Firmicutes","Bacilli","Erysipelotrichaceae","Solobacterium"
"ASV344",22.5775800513542,-1.15346604662777,1.5977996222665,0.984885864786708,"Fusobacteriota","Fusobacteriia","Leptotrichiaceae","Leptotrichia"
"ASV347",11.6923524596048,-0.378817889512311,1.56743982675023,0.984885864786708,"Actinobacteriota","Actinobacteria","Corynebacteriaceae","Corynebacterium"
"ASV367",0.929724880993761,-2.20127277327921,2.79852911963622,0.984885864786708,"Firmicutes","Bacilli","Mycoplasmataceae","Mycoplasma"
"ASV391",0.0335563005309732,-0.773646193149512,3.07531441953084,0.984885864786708,"Proteobacteria","Gammaproteobacteria","Burkholderiaceae","Lautropia"
"ASV411",2.95609471977417,-0.152055142086712,2.16508847154128,0.984885864786708,"Proteobacteria","Gammaproteobacteria","Neisseriaceae","Kingella"
"ASV416",3.23783824865526,5.05895650862088,3.00794113066444,0.984885864786708,"Proteobacteria","Gammaproteobacteria","Neisseriaceae","Eikenella"
"ASV437",1.50059818221192,-1.93968103329324,2.73392968740794,0.984885864786708,"Actinobacteriota","Actinobacteria","Bifidobacteriaceae","Alloscardovia"
"ASV458",0.170761556525225,-0.800953263393229,3.06685630612187,0.984885864786708,"Firmicutes","Clostridia","Lachnospiraceae","Howardella"
"ASV466",1.80294170326158,3.43240063317709,2.66463377002348,0.984885864786708,"Actinobacteriota","Actinobacteria","Actinomycetaceae","F0332"
"ASV467",0.526381526035139,-0.707595412406053,3.04706534876332,0.984885864786708,"Firmicutes","Clostridia","Lachnospiraceae","Shuttleworthia"
"ASV486",3.25845641110862,-5.04274722669225,2.85227750269622,0.984885864786708,"Spirochaetota","Spirochaetia","Spirochaetaceae","Treponema"
"ASV517",0.736304477027399,1.27622845803528,3.0275253333895,0.984885864786708,"Proteobacteria","Gammaproteobacteria","Cardiobacteriaceae","Cardiobacterium"
"ASV532",0.941210640623557,1.95052404940688,3.02035268703692,0.984885864786708,"Firmicutes","Negativicutes","Selenomonadaceae","Selenomonas"
"ASV563",0.682576587249896,-1.92421962893556,2.7816182719604,0.984885864786708,"Patescibacteria","Saccharimonadia","Saccharimonadaceae","Candidatus Saccharimonas"
"ASV569",0.3213727969698,-0.345251073488061,3.05633638764922,0.984885864786708,"Actinobacteriota","Coriobacteriia","Eggerthellaceae","Cryptobacterium"
"ASV590",4.71567815866041,2.05599441309959,1.8516092766256,0.984885864786708,"Bacteroidota","Bacteroidia","Weeksellaceae","Bergeyella"
"ASV599",1.39425325283426,1.5152813598031,2.53054206468062,0.984885864786708,"Firmicutes","Negativicutes","Selenomonadaceae","Centipeda"
"ASV637",0.196046942638431,-0.637596612721949,3.06443872635808,0.984885864786708,"Firmicutes","Clostridia","Anaerovoracaceae","[Eubacterium] nodatum group"
"ASV670",0.102798629704346,0.935737669429832,3.06254519974621,0.984885864786708,"Firmicutes","Negativicutes","Veillonellaceae","Anaeroglobus"
"ASV785",1.85082640505649,-1.07515084059961,2.52173602532322,0.984885864786708,"Bacteroidota","Bacteroidia","Tannerellaceae","Tannerella"
"ASV809",0.21037672293775,0.219103047264467,3.06087080194691,0.984885864786708,"Actinobacteriota","Coriobacteriia","Eggerthellaceae","Slackia"
"ASV934",0.0336565100139364,0.244073425971228,3.06861652653408,0.984885864786708,"Firmicutes","Clostridia","Ruminococcaceae","Incertae Sedis"
"ASV955",0.211915165124614,0.463500434214617,3.06130882822844,0.984885864786708,"Actinobacteriota","Actinobacteria","Propionibacteriaceae","Pseudopropionibacterium"
"ASV965",0.10312517661897,-1.14491907941389,3.07454722090955,0.984885864786708,"Synergistota","Synergistia","Synergistaceae","Fretibacterium"
