"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Family","Genus"
"ASV173",129.542651728235,18.6072282003575,2.32158897368547,1.97357772651985e-13,"Firmicutes","Clostridia","Lachnospiraceae","Lachnospira"
"ASV31",969.771391526931,9.57601720707587,1.41706796075162,1.25541415360952e-09,"Actinobacteriota","Actinobacteria","Bifidobacteriaceae","Bifidobacterium"
"ASV181",36.0671673857288,17.6851022455682,3.13814015527786,5.30190916449538e-07,"Firmicutes","Clostridia","Lachnospiraceae","CAG-56"
"ASV68",155.159910303009,10.5036232385905,2.09367401759627,1.0447402843532e-05,"Firmicutes","Negativicutes","Veillonellaceae","Dialister"
"ASV89",125.834720940234,18.5856994474282,3.94509012727389,4.41034135315197e-05,"Firmicutes","Clostridia","Peptostreptococcaceae","Peptostreptococcus"
"ASV76",16.9176042785623,17.1390323370195,3.9385032202574,0.000219860529333485,"Proteobacteria","Gammaproteobacteria","Enterobacteriaceae","Klebsiella"
"ASV49",259.009280381527,19.1056713773423,4.41038441082326,0.000220435930715035,"Firmicutes","Negativicutes","Acidaminococcaceae","Acidaminococcus"
"ASV120",40.3002215142521,17.7647934710419,4.41052965202312,0.000775177834181069,"Firmicutes","Clostridia","Peptostreptococcaceae","Clostridioides"
"ASV18",438.498806438981,5.95018276942105,1.53860964562395,0.00140733830274944,"Firmicutes","Negativicutes","Veillonellaceae","Veillonella"
"ASV5",668.291935230685,3.83739207631801,1.06274269046086,0.00364215880223391,"Firmicutes","Bacilli","Streptococcaceae","Streptococcus"
"ASV90",243.518876759497,3.2197544441534,1.06397833648768,0.0277105608631319,"Firmicutes","Clostridia","Butyricicoccaceae","Butyricicoccus"
"ASV8",460.40992880651,4.86863231533348,1.62637424257425,0.0290351148834348,"Firmicutes","Bacilli","Enterococcaceae","Enterococcus"
"ASV20",433.508910912625,4.16892490309373,1.45231032377224,0.0407485943159469,"Firmicutes","Clostridia","Lachnospiraceae","[Ruminococcus] gnavus group"
