	Prevalence_percentage	Mean_abundance	Signal	Effect_1_2	Effect_1_3	Effect_2_3	EffectSize_1_2	EffectSize_1_3	EffectSize_2_3	Null_time_model_q	Post-hoc_q_1_2	Post-hoc_q_1_3	Post-hoc_q_2_3
Staphylococcus	83.333	186961.5	NS	NS	NS	NS	-0.333333333333333	0.333333333333333	0.666666666666667	0.980569507096774	0.727822800712039	0.727822800712039	0.727822800712039
Pseudomonas	61.111	155955	NS	NS	NS	NS	0.5	-0.333333333333333	-0.833333333333333	0.72344256	0.446713003128535	0.571942610039732	0.36073769056251
Streptococcus	94.444	234963.278	NS	NS	NS	NS	0.333333333333333	0.333333333333333	0	0.980569507096774	0.925861964394717	0.925861964394717	0.925861964394717
Rothia	100	42449.333	NS	NS	NS	NS	-0.333333333333333	0.333333333333333	0.666666666666667	0.33853544	0.343703256550132	0.219028055157141	0.0790087984249394
Prevotella	94.444	93571.556	NS	NS	NS	NS	-0.333333333333333	-0.333333333333333	-0.666666666666667	0.980569507096774	0.762252705371611	0.762252705371611	0.762252705371611
Veillonella	100	33640	NS	NS	NS	NS	0	0.666666666666667	-0.333333333333333	0.72344256	0.263028311446574	0.263028311446574	0.964400482515679
Gemella	94.444	22467.5	NS	NS	NS	NS	-0.333333333333333	0.333333333333333	0.333333333333333	0.980569507096774	0.911546282700469	0.835520543723555	0.835520543723555
Granulicatella	88.889	16745.5	NS	NS	NS	NS	-0.333333333333333	0	0.166666666666667	0.98479697	0.9553683061636	0.9553683061636	0.9553683061636
Fusobacterium	61.111	26142.056	NS	NS	NS	NS	-0.166666666666667	0	0.333333333333333	0.980569507096774	0.913803218164305	0.913803218164305	0.913803218164305
Alloprevotella	83.333	6351.056	NS	NS	NS	NS	0.333333333333333	0	0.5	0.980569507096774	0.716194705861157	0.716194705861157	0.716194705861157
Campylobacter	55.556	7303.889	NS	NS	NS	NS	0	0	-0.166666666666667	0.980569507096774	0.760961590887898	0.760961590887898	0.760961590887898
Porphyromonas	44.444	9154.722	NS	NS	NS	NS	0.166666666666667	0.166666666666667	0	0.980569507096774	0.719252902863734	0.719252902863734	0.719252902863734
Actinomyces	94.444	19642.389	NS	NS	NS	NS	-0.666666666666667	0.333333333333333	0.666666666666667	0.837651131428571	0.493343802982667	0.493343802982667	0.493343802982667
Lactobacillus	44.444	2606.333	NS	NS	NS	NS	0.333333333333333	-0.166666666666667	0	0.980569507096774	0.953104789264311	0.953104789264311	0.953104789264311
Haemophilus	50	8300.722	NS	NS	NS	NS	-0.333333333333333	0	-0.166666666666667	0.980569507096774	0.795347582212102	0.795347582212102	0.795347582212102
Lachnoanaerobaculum	44.444	1027.833	NS	NS	NS	NS	0	-0.166666666666667	-0.666666666666667	0.46096432	0.573675210799368	0.152371313876794	0.208929021578191
Bifidobacterium	44.444	406.167	NS	NS	NS	NS	0.166666666666667	0.333333333333333	0.333333333333333	0.480029851428571	0.352700112763032	0.161452209294512	0.352700112763032
Megasphaera	38.889	881.778	NS	NS	NS	NS	-0.166666666666667	-0.166666666666667	-0.166666666666667	0.980569507096774	0.993427957042046	0.993427957042046	0.993427957042046
Atopobium	88.889	2245.444	NS	NS	NS	NS	0	0	-0.166666666666667	0.980569507096774	0.746074252913883	0.746074252913883	0.746074252913883
Scardovia	88.889	1936.333	NS	NS	NS	NS	0.333333333333333	0.666666666666667	0	0.25445376	0.0460213246864566	0.0460213246864566	0.87701599429035
Mogibacterium	38.889	902.889	NS	NS	NS	NS	0.166666666666667	-0.166666666666667	-0.5	0.980569507096774	0.850019589939697	0.850019589939697	0.850019589939697
Stomatobaculum	33.333	792.167	NS	NS	NS	NS	0.333333333333333	0	-0.333333333333333	0.25445376	0.073954971025039	0.650654827634203	0.073954971025039
Oribacterium	83.333	1471.944	NS	NS	NS	NS	0	0	-0.166666666666667	0.980569507096774	0.827296211482823	0.827296211482823	0.827296211482823
Capnocytophaga	72.222	2743.333	NS	NS	NS	NS	0.333333333333333	0.166666666666667	0.166666666666667	0.980569507096774	0.647642082828995	0.647642082828995	0.647642082828995
TM7x	38.889	719.444	NS	NS	NS	NS	-0.166666666666667	-0.5	-0.5	0.25445376	0.576403465588645	0.0381229028541037	0.0381229028541037
Peptostreptococcus	33.333	927.944	NS	NS	NS	NS	0.333333333333333	0.166666666666667	-0.166666666666667	0.79626832	0.679860584828366	0.282615051653446	0.282615051653446
Catonella	38.889	128.167	NS	NS	NS	NS	0	0.5	0.166666666666667	0.980569507096774	0.542188838073437	0.542188838073437	0.542188838073437
Solobacterium	61.111	941.389	NS	NS	NS	NS	0.333333333333333	0.5	0.666666666666667	0.72344256	0.386793516361302	0.405579691462886	0.645979568427771
Leptotrichia	44.444	1988.444	NS	NS	NS	NS	-0.333333333333333	-0.333333333333333	0.166666666666667	0.822131938461538	0.365310473240514	0.648847717584687	0.365310473240514
Corynebacterium	38.889	833.889	NS	NS	NS	NS	-0.5	-0.166666666666667	0.5	0.72344256	0.185440625696062	0.819970610983452	0.185440625696062
Candidatus_Saccharimonas	33.333	231.111	NS	NS	NS	NS	0.333333333333333	-0.166666666666667	-0.166666666666667	0.980569507096774	0.899934532569155	0.899934532569155	0.899934532569155
Bergeyella	44.444	532.722	NS	NS	NS	NS	0.166666666666667	0.5	0.166666666666667	0.46096432	0.31328692326873	0.141436850199685	0.288918742650263
