	Prevalence_percentage	Mean_abundance	Signal	Effect_1_2	Effect_1_3	Effect_2_3	EffectSize_1_2	EffectSize_1_3	EffectSize_2_3	Null_time_model_q	Post-hoc_q_1_2	Post-hoc_q_1_3	Post-hoc_q_2_3
Erysipelotrichaceae_UCG-003	28.571	2970.333	NS	NS	NS	NS	0.142857142857143	0	0.142857142857143	0.99999531	0.912600195925998	0.912600195925998	0.912600195925998
Lachnospiraceae_UCG-004	52.381	5001.381	NS	NS	NS	NS	0.142857142857143	0.428571428571429	0.142857142857143	0.99999531	0.462450682408315	0.334271371539672	0.334271371539672
Tuzzerella	57.143	4334.048	NS	NS	NS	NS	-0.142857142857143	-0.142857142857143	-0.142857142857143	0.99999531	0.76713068713118	0.76713068713118	0.76713068713118
Ruminococcus_gauvreauii_group	52.381	6478.333	NS	NS	NS	NS	0.285714285714286	0.285714285714286	-0.428571428571429	0.99999531	0.975803420116716	0.975803420116716	0.975803420116716
Monoglobus	38.095	1655.048	NS	NS	NS	NS	0.142857142857143	0.142857142857143	-0.142857142857143	0.99999531	0.987092376888898	0.987092376888898	0.987092376888898
Eubacterium_eligens_group	38.095	6077.19	NS	NS	NS	NS	0.285714285714286	-0.142857142857143	-0.142857142857143	0.99999531	0.761271412177747	0.318202540843774	0.318202540843774
Turicibacter	52.381	4772.286	NS	NS	NS	NS	-0.142857142857143	0.285714285714286	0.571428571428571	0.99999531	0.382893634668743	0.56777360645259	0.290790791512286
Flavonifractor	80.952	2688.19	NS	NS	NS	NS	0.142857142857143	0.428571428571429	-0.142857142857143	0.99999531	0.894123717416896	0.894123717416896	0.894123717416896
Terrisporobacter	61.905	3267.286	NS	NS	NS	NS	-0.428571428571429	0.571428571428571	0.571428571428571	0.41676598	0.264381534918285	0.17435019255259	0.0371826399654269
UCG-002	33.333	1900.238	NS	NS	NS	NS	0	0.428571428571429	0.285714285714286	0.99999531	0.624387396486522	0.624387396486522	0.675442268363444
Lachnospira	42.857	5461	NS	NS	NS	NS	-0.142857142857143	0.142857142857143	0.142857142857143	0.99999531	0.961745444896755	0.961745444896755	0.989876697304459
Megasphaera	28.571	1069.714	NS	NS	NS	NS	-0.285714285714286	-0.285714285714286	0	0.99999531	0.599440635069412	0.723512994329074	0.599440635069412
Hungatella	47.619	1921.286	NS	NS	NS	NS	-0.142857142857143	0.285714285714286	0.285714285714286	0.99999531	0.609999183474811	0.609999183474811	0.588984568275316
Colidextribacter	66.667	1777.429	NS	NS	NS	NS	0.142857142857143	-0.142857142857143	-0.142857142857143	0.99999531	0.722583564506307	0.628175278425652	0.628175278425652
Lachnospiraceae_UCG-010	38.095	605.476	NS	NS	NS	NS	0	-0.142857142857143	-0.142857142857143	0.99999531	0.969353465211745	0.969353465211745	0.969353465211745
Lachnospiraceae_FCS020_group	38.095	1631.333	NS	NS	NS	NS	0.285714285714286	0	0	0.99999531	0.811805785080184	0.64255230506897	0.64255230506897
Incertae_Sedis	61.905	2976.714	NS	NS	NS	NS	0.142857142857143	-0.142857142857143	-0.285714285714286	0.99999531	0.978718837214731	0.978718837214731	0.978718837214731
Lactococcus	38.095	1934.333	NS	NS	NS	NS	0.142857142857143	0.142857142857143	0.142857142857143	0.99999531	0.930362978647065	0.243401510354198	0.243401510354198
Oscillibacter	52.381	1870.286	NS	NS	NS	NS	-0.142857142857143	-0.428571428571429	-0.142857142857143	0.99999531	0.764487773951016	0.764487773951016	0.764487773951016
Lachnospiraceae_NK4A136_group	52.381	1241.714	NS	NS	NS	NS	-0.428571428571429	0.142857142857143	0.285714285714286	0.99999531	0.874541160510276	0.874541160510276	0.874541160510276
Lachnospiraceae_UCG-009	28.571	163.571	NS	NS	NS	NS	-0.142857142857143	0	0.142857142857143	0.99999531	0.821382271632707	0.821382271632707	0.836005057997023
Eubacterium_ventriosum_group	38.095	545	NS	NS	NS	NS	0.142857142857143	0.142857142857143	0	0.99999531	0.910438249956629	0.910438249956629	0.910438249956629
DTU089	28.571	87.952	NS	NS	NS	NS	0.285714285714286	-0.428571428571429	-0.428571428571429	0.99999531	0.999983898474395	0.999983898474395	0.999983898474395
